BatterID,Season,BatterTeam,FB,GB,IFFB,LD,Center,Oppo,Pull,Barrel,FlareBurner,SolidContact,Topped,Under,Weak,xwOBAcon
502317,2015,LAD,11.0,9.0,10.0,10.0,8.0,11.0,21.0,1.0,6.0,4.0,5.0,23.0,0.0,0.257948717948718
502317,2016,WSH,25.0,31.0,14.0,26.0,23.0,28.0,44.0,9.0,19.0,2.0,24.0,32.0,2.0,0.3650227272727273
502317,2017,WSH,20.0,20.0,5.0,7.0,17.0,11.0,24.0,3.0,9.0,2.0,17.0,17.0,1.0,0.31451020408163266
502327,2015,LAA,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.546
502327,2016,LAA,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.263
502327,2018,CWS,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.033
502374,2015,COL,27.0,33.0,2.0,25.0,27.0,26.0,34.0,9.0,14.0,6.0,27.0,24.0,3.0,0.3641084337349398
502374,2016,STL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
502409,2015,TOR,0.0,8.0,0.0,3.0,2.0,5.0,4.0,0.0,3.0,0.0,7.0,0.0,0.0,0.2914
502457,2016,CIN,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.052
502481,2015,KC,19.0,100.0,15.0,36.0,41.0,44.0,85.0,1.0,42.0,2.0,69.0,27.0,14.0,0.2745741935483871
502481,2016,KC,33.0,157.0,19.0,60.0,78.0,67.0,117.0,1.0,60.0,1.0,119.0,51.0,15.0,0.2805222672064777
502481,2017,SEA,40.0,150.0,34.0,73.0,79.0,80.0,128.0,5.0,68.0,5.0,108.0,71.0,27.0,0.28845774647887323
502481,2018,ARI,32.0,91.0,17.0,36.0,48.0,41.0,85.0,3.0,41.0,0.0,63.0,48.0,9.0,0.27092073170731706
502481,2019,ARI,54.0,161.0,29.0,73.0,97.0,78.0,141.0,5.0,70.0,8.0,118.0,86.0,26.0,0.2699424920127796
502481,2020,CWS,0.0,7.0,1.0,2.0,4.0,1.0,5.0,0.0,2.0,0.0,6.0,0.0,2.0,0.2731
502481,2020,PIT,7.0,19.0,5.0,10.0,9.0,9.0,23.0,0.0,6.0,0.0,19.0,13.0,3.0,0.21087804878048783
502481,2021,KC,10.0,60.0,5.0,23.0,35.0,22.0,41.0,1.0,22.0,5.0,45.0,9.0,16.0,0.27744897959183673
502481,2021,TOR,1.0,5.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,5.0,2.0,0.0,0.1905
502517,2015,NYM,110.0,202.0,35.0,120.0,115.0,123.0,223.0,22.0,118.0,29.0,162.0,119.0,9.0,0.34813289760348587
502517,2016,WSH,128.0,181.0,33.0,140.0,127.0,122.0,225.0,41.0,140.0,34.0,122.0,132.0,5.0,0.42476371308016875
502517,2017,WSH,117.0,153.0,38.0,152.0,130.0,122.0,194.0,22.0,148.0,34.0,112.0,130.0,13.0,0.39488235294117646
502517,2018,CHC,32.0,41.0,8.0,35.0,29.0,43.0,39.0,6.0,35.0,8.0,32.0,32.0,2.0,0.37009565217391305
502517,2018,WSH,42.0,62.0,14.0,57.0,41.0,61.0,72.0,8.0,55.0,6.0,49.0,55.0,2.0,0.3770057142857143
502517,2019,COL,91.0,150.0,24.0,103.0,103.0,104.0,161.0,9.0,103.0,20.0,117.0,107.0,12.0,0.31744021739130435
502517,2020,COL,27.0,43.0,8.0,25.0,30.0,32.0,41.0,5.0,25.0,2.0,38.0,28.0,5.0,0.3072621359223301
502522,2015,COL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
502522,2018,WSH,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.048
502523,2015,SEA,5.0,18.0,0.0,8.0,4.0,14.0,13.0,0.0,7.0,1.0,10.0,5.0,4.0,0.30029629629629634
502523,2016,SEA,23.0,87.0,8.0,34.0,37.0,51.0,59.0,1.0,31.0,3.0,61.0,34.0,7.0,0.27305109489051094
502544,2016,LAA,15.0,25.0,3.0,17.0,20.0,13.0,27.0,2.0,16.0,1.0,16.0,19.0,4.0,0.31463793103448273
502570,2015,SD,1.0,6.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,6.0,2.0,1.0,0.10322222222222223
502570,2017,SD,5.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,5.0,1.0,0.132
502570,2018,LAD,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.101
502570,2019,LAD,2.0,3.0,1.0,2.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,3.0,0.0,0.184
502582,2015,MIL,12.0,53.0,9.0,26.0,23.0,27.0,50.0,1.0,25.0,3.0,37.0,24.0,1.0,0.2805824175824176
502582,2016,MIN,10.0,22.0,5.0,11.0,7.0,13.0,28.0,1.0,14.0,1.0,15.0,12.0,3.0,0.2925217391304348
502624,2015,ARI,0.0,29.0,1.0,3.0,9.0,20.0,4.0,0.0,4.0,0.0,16.0,1.0,2.0,0.2516521739130435
502624,2016,MIL,1.0,18.0,1.0,3.0,6.0,10.0,5.0,0.0,2.0,0.0,11.0,3.0,3.0,0.22842105263157894
502624,2017,MIL,1.0,17.0,4.0,4.0,6.0,13.0,7.0,0.0,4.0,0.0,13.0,5.0,0.0,0.20822727272727273
502624,2018,MIL,2.0,18.0,2.0,4.0,8.0,10.0,7.0,0.0,4.0,0.0,10.0,4.0,3.0,0.21766666666666665
502624,2019,MIL,2.0,13.0,0.0,3.0,3.0,7.0,8.0,0.0,4.0,0.0,5.0,3.0,4.0,0.2601875
502624,2021,PHI,0.0,5.0,1.0,2.0,0.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,5.0,0.269625
502671,2015,ARI,82.0,179.0,23.0,139.0,134.0,153.0,133.0,53.0,98.0,37.0,128.0,90.0,8.0,0.48530676328502415
502671,2016,ARI,83.0,207.0,24.0,123.0,117.0,136.0,178.0,34.0,122.0,33.0,146.0,88.0,8.0,0.41555220417633415
502671,2017,ARI,106.0,189.0,17.0,103.0,129.0,112.0,166.0,55.0,110.0,35.0,126.0,76.0,13.0,0.47611807228915665
502671,2018,ARI,96.0,163.0,37.0,124.0,131.0,126.0,155.0,57.0,94.0,39.0,120.0,99.0,11.0,0.4798571428571428
502671,2019,STL,129.0,167.0,32.0,106.0,139.0,125.0,170.0,49.0,105.0,39.0,113.0,108.0,15.0,0.4366946386946387
502671,2020,STL,37.0,52.0,9.0,51.0,44.0,49.0,56.0,16.0,38.0,11.0,46.0,33.0,5.0,0.4314563758389262
502671,2021,STL,147.0,176.0,33.0,116.0,161.0,126.0,185.0,64.0,124.0,39.0,116.0,120.0,8.0,0.46690658174097666
502671,2022,STL,122.0,173.0,32.0,97.0,119.0,139.0,166.0,49.0,101.0,42.0,114.0,102.0,14.0,0.4266208530805687
502676,2015,NYY,1.0,4.0,2.0,1.0,2.0,0.0,6.0,0.0,2.0,0.0,1.0,3.0,2.0,0.21887500000000001
502676,2016,PIT,5.0,7.0,4.0,8.0,6.0,9.0,8.0,0.0,8.0,0.0,6.0,8.0,1.0,0.2162608695652174
502706,2016,TEX,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.024
502706,2017,CWS,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.551
502706,2018,SF,3.0,17.0,0.0,2.0,4.0,10.0,5.0,0.0,1.0,0.0,14.0,5.0,0.0,0.15505
502706,2019,SF,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.15225
502748,2017,HOU,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.52675
503351,2016,ATL,1.0,6.0,0.0,3.0,3.0,4.0,3.0,0.0,3.0,1.0,5.0,0.0,1.0,0.3722
