PitcherID,Season,PitcherTeam,FB,GB,IFFB,LD,Center,Oppo,Pull,Barrel,FlareBurner,SolidContact,Topped,Under,Weak,xwOBAcon
623149,2022,SEA,48.0,48.0,21.0,32.0,33.0,51.0,65.0,14.0,31.0,8.0,26.0,56.0,14.0,0.3210268456375839
623167,2017,NYM,41.0,67.0,8.0,44.0,43.0,45.0,59.0,10.0,40.0,9.0,48.0,37.0,12.0,0.3763974358974359
623167,2018,NYM,6.0,12.0,3.0,9.0,9.0,10.0,11.0,4.0,5.0,3.0,8.0,8.0,2.0,0.44093333333333334
623167,2019,NYM,13.0,16.0,4.0,14.0,18.0,15.0,14.0,3.0,13.0,3.0,11.0,15.0,2.0,0.3392127659574468
623167,2021,SEA,161.0,246.0,27.0,138.0,158.0,167.0,247.0,36.0,140.0,37.0,183.0,153.0,21.0,0.3545
623167,2022,SEA,144.0,155.0,39.0,104.0,131.0,136.0,175.0,40.0,105.0,25.0,104.0,144.0,24.0,0.3599909502262444
623168,2020,SF,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.42766666666666664
623184,2015,COL,31.0,99.0,7.0,41.0,43.0,71.0,64.0,12.0,36.0,4.0,72.0,33.0,6.0,0.35597546012269937
623184,2016,COL,18.0,45.0,4.0,14.0,26.0,29.0,23.0,3.0,17.0,4.0,37.0,18.0,1.0,0.32505
623184,2017,COL,30.0,106.0,7.0,41.0,41.0,47.0,84.0,4.0,51.0,9.0,85.0,30.0,3.0,0.340467032967033
623184,2018,COL,20.0,90.0,6.0,40.0,38.0,44.0,65.0,8.0,47.0,8.0,64.0,25.0,4.0,0.3565448717948718
623184,2019,COL,27.0,73.0,10.0,32.0,36.0,45.0,61.0,9.0,35.0,5.0,52.0,32.0,7.0,0.35142142857142855
623211,2022,MIA,23.0,39.0,0.0,16.0,21.0,19.0,38.0,4.0,19.0,1.0,25.0,21.0,8.0,0.33432051282051284
623352,2017,MIL,27.0,34.0,14.0,19.0,28.0,32.0,34.0,5.0,19.0,5.0,20.0,37.0,6.0,0.313945652173913
623352,2018,MIL,37.0,41.0,17.0,37.0,31.0,50.0,49.0,14.0,27.0,5.0,30.0,45.0,9.0,0.37570000000000003
623352,2019,MIL,42.0,28.0,24.0,33.0,38.0,46.0,43.0,16.0,28.0,7.0,20.0,47.0,1.0,0.41880672268907565
623352,2020,MIL,10.0,9.0,8.0,7.0,7.0,11.0,16.0,5.0,5.0,1.0,5.0,16.0,2.0,0.34317647058823525
623352,2021,MIL,31.0,31.0,12.0,22.0,31.0,29.0,36.0,6.0,26.0,7.0,17.0,35.0,3.0,0.3463936170212766
623352,2022,MIL,26.0,21.0,8.0,14.0,21.0,21.0,27.0,12.0,15.0,3.0,17.0,20.0,2.0,0.44955072463768114
623352,2022,SD,10.0,14.0,0.0,20.0,9.0,16.0,19.0,1.0,15.0,4.0,9.0,13.0,2.0,0.34811363636363635
623354,2018,NYM,6.0,7.0,2.0,1.0,4.0,7.0,5.0,2.0,1.0,1.0,4.0,3.0,1.0,0.38058333333333333
623354,2019,NYM,13.0,8.0,1.0,5.0,5.0,14.0,8.0,1.0,4.0,3.0,6.0,8.0,1.0,0.288304347826087
623354,2021,SEA,5.0,7.0,0.0,2.0,5.0,1.0,8.0,0.0,4.0,2.0,5.0,3.0,0.0,0.3474285714285714
623364,2018,SD,5.0,4.0,1.0,4.0,7.0,4.0,2.0,1.0,1.0,2.0,4.0,6.0,0.0,0.38092857142857145
623364,2019,CHC,5.0,3.0,1.0,5.0,5.0,7.0,2.0,1.0,2.0,1.0,3.0,7.0,0.0,0.322
623364,2019,SD,22.0,23.0,5.0,19.0,19.0,17.0,33.0,6.0,16.0,6.0,18.0,21.0,2.0,0.45517391304347826
623364,2020,CHC,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.982
623364,2021,CHC,13.0,10.0,1.0,9.0,12.0,13.0,8.0,2.0,7.0,4.0,6.0,13.0,1.0,0.33090909090909093
623381,2018,TOR,34.0,48.0,21.0,32.0,39.0,43.0,51.0,10.0,21.0,7.0,38.0,52.0,6.0,0.31667164179104473
623381,2019,TOR,72.0,77.0,18.0,52.0,72.0,67.0,79.0,21.0,59.0,15.0,51.0,66.0,6.0,0.39616972477064216
623395,2015,MIA,18.0,28.0,7.0,19.0,11.0,33.0,28.0,3.0,16.0,3.0,22.0,26.0,2.0,0.31277777777777777
623395,2016,MIA,30.0,28.0,12.0,21.0,22.0,35.0,32.0,4.0,16.0,9.0,18.0,38.0,0.0,0.27736470588235296
623395,2017,MIA,43.0,49.0,11.0,27.0,33.0,48.0,49.0,9.0,36.0,10.0,34.0,40.0,1.0,0.3607230769230769
623402,2018,NYM,34.0,30.0,6.0,17.0,22.0,28.0,32.0,7.0,22.0,4.0,17.0,33.0,1.0,0.3814166666666667
623402,2019,NYM,5.0,6.0,5.0,8.0,6.0,8.0,10.0,1.0,6.0,0.0,6.0,10.0,1.0,0.34958333333333336
623406,2016,ATL,0.0,13.0,3.0,6.0,5.0,6.0,11.0,0.0,6.0,0.0,11.0,3.0,2.0,0.2814090909090909
623406,2017,SEA,7.0,8.0,0.0,3.0,3.0,5.0,8.0,3.0,3.0,1.0,6.0,5.0,0.0,0.47705555555555557
623430,2015,OAK,11.0,17.0,7.0,9.0,8.0,14.0,19.0,5.0,4.0,3.0,17.0,14.0,1.0,0.36286363636363633
623430,2016,OAK,56.0,68.0,36.0,41.0,55.0,55.0,85.0,13.0,34.0,8.0,56.0,81.0,7.0,0.3013768844221106
623430,2017,OAK,30.0,46.0,12.0,25.0,28.0,23.0,55.0,9.0,22.0,4.0,33.0,35.0,7.0,0.3544090909090909
623430,2018,OAK,20.0,25.0,10.0,17.0,20.0,26.0,25.0,6.0,18.0,3.0,19.0,24.0,1.0,0.36390140845070423
623430,2019,NYY,3.0,2.0,0.0,3.0,2.0,3.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,0.482875
623430,2019,OAK,10.0,12.0,3.0,13.0,10.0,9.0,19.0,6.0,8.0,3.0,6.0,10.0,2.0,0.5148857142857143
623430,2019,TOR,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6155
623433,2019,MIA,28.0,28.0,9.0,35.0,21.0,33.0,46.0,9.0,32.0,6.0,21.0,31.0,1.0,0.43838
623433,2019,TB,8.0,11.0,8.0,7.0,8.0,12.0,14.0,3.0,7.0,2.0,9.0,12.0,1.0,0.3581470588235294
623433,2020,TB,13.0,6.0,5.0,5.0,11.0,11.0,7.0,3.0,2.0,6.0,5.0,13.0,0.0,0.3776551724137931
623433,2021,TB,11.0,4.0,3.0,3.0,8.0,6.0,7.0,5.0,2.0,2.0,3.0,7.0,2.0,0.5598095238095239
623434,2017,TEX,5.0,15.0,1.0,8.0,4.0,5.0,16.0,5.0,10.0,0.0,7.0,4.0,3.0,0.5641379310344827
623434,2018,TOR,8.0,9.0,0.0,8.0,12.0,3.0,10.0,2.0,7.0,5.0,8.0,3.0,0.0,0.48092
623437,2020,MIL,3.0,10.0,0.0,5.0,2.0,6.0,10.0,2.0,3.0,1.0,10.0,2.0,0.0,0.3962222222222222
623437,2021,MIL,7.0,9.0,1.0,4.0,6.0,8.0,7.0,2.0,4.0,3.0,7.0,5.0,0.0,0.3507619047619047
623437,2022,MIL,3.0,20.0,0.0,4.0,9.0,6.0,12.0,1.0,7.0,1.0,14.0,2.0,2.0,0.3015185185185185
623439,2016,TB,28.0,60.0,8.0,31.0,35.0,43.0,49.0,8.0,37.0,6.0,44.0,28.0,2.0,0.377016
623439,2017,SEA,12.0,14.0,3.0,5.0,10.0,10.0,10.0,0.0,5.0,4.0,10.0,13.0,2.0,0.2804705882352941
623439,2017,TB,5.0,15.0,1.0,13.0,7.0,9.0,17.0,3.0,11.0,2.0,11.0,5.0,1.0,0.4850909090909091
623439,2019,SEA,6.0,3.0,1.0,2.0,5.0,1.0,6.0,2.0,2.0,2.0,2.0,4.0,0.0,0.5646666666666667
623451,2017,CIN,25.0,25.0,8.0,12.0,27.0,19.0,24.0,6.0,17.0,4.0,21.0,20.0,2.0,0.3924714285714286
623451,2018,CIN,25.0,54.0,8.0,45.0,34.0,45.0,48.0,9.0,38.0,9.0,37.0,26.0,10.0,0.40682170542635654
623451,2022,ATL,26.0,77.0,10.0,49.0,42.0,56.0,64.0,8.0,47.0,4.0,58.0,37.0,8.0,0.3377962962962963
623454,2017,PHI,2.0,4.0,1.0,4.0,6.0,3.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,0.5393636363636364
623454,2018,PHI,11.0,19.0,4.0,10.0,15.0,9.0,20.0,3.0,11.0,3.0,13.0,12.0,1.0,0.38095348837209303
623454,2019,PHI,2.0,8.0,1.0,7.0,9.0,4.0,5.0,1.0,7.0,1.0,6.0,3.0,0.0,0.3985
623454,2020,CWS,3.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7458333333333332
623454,2021,TEX,17.0,30.0,9.0,19.0,35.0,21.0,19.0,4.0,15.0,4.0,22.0,27.0,3.0,0.31217333333333336
623465,2018,ATL,9.0,9.0,1.0,3.0,7.0,5.0,10.0,1.0,3.0,2.0,8.0,8.0,0.0,0.2716818181818182
623465,2018,BAL,6.0,7.0,1.0,4.0,3.0,7.0,8.0,4.0,5.0,1.0,4.0,3.0,1.0,0.5133888888888889
623465,2019,BAL,13.0,30.0,5.0,27.0,24.0,27.0,24.0,4.0,21.0,11.0,20.0,17.0,1.0,0.4143783783783784
623465,2020,BAL,8.0,17.0,3.0,8.0,9.0,13.0,14.0,1.0,11.0,1.0,11.0,9.0,2.0,0.33685714285714285
623465,2021,LAD,3.0,17.0,1.0,10.0,12.0,8.0,11.0,1.0,9.0,1.0,12.0,6.0,2.0,0.33874193548387094
623465,2021,TB,2.0,4.0,0.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,0.0,0.4902
623465,2022,LAD,28.0,64.0,15.0,31.0,45.0,39.0,54.0,6.0,25.0,10.0,51.0,38.0,6.0,0.3034779411764706
623470,2018,KC,11.0,13.0,4.0,12.0,9.0,10.0,21.0,4.0,12.0,4.0,10.0,10.0,0.0,0.437
623470,2019,KC,28.0,31.0,8.0,24.0,31.0,23.0,37.0,9.0,17.0,9.0,26.0,29.0,1.0,0.41013186813186814
623470,2020,KC,15.0,21.0,4.0,16.0,18.0,13.0,25.0,3.0,13.0,2.0,18.0,19.0,1.0,0.3755
623470,2021,KC,3.0,6.0,2.0,5.0,4.0,5.0,7.0,3.0,2.0,2.0,6.0,3.0,0.0,0.549375
623474,2019,CIN,8.0,5.0,2.0,8.0,5.0,7.0,11.0,2.0,6.0,1.0,2.0,6.0,0.0,0.4343529411764706
623474,2020,TEX,13.0,20.0,8.0,13.0,15.0,19.0,20.0,3.0,14.0,1.0,12.0,21.0,2.0,0.3490754716981132
623474,2021,LAA,9.0,17.0,0.0,10.0,11.0,10.0,15.0,0.0,11.0,2.0,12.0,8.0,3.0,0.3169166666666667
623474,2021,TEX,4.0,6.0,0.0,5.0,5.0,3.0,7.0,2.0,3.0,0.0,4.0,4.0,2.0,0.42579999999999996
623474,2022,LAA,43.0,79.0,16.0,47.0,55.0,56.0,74.0,12.0,43.0,11.0,56.0,51.0,10.0,0.32311475409836066
623485,2020,COL,8.0,15.0,1.0,10.0,7.0,5.0,22.0,4.0,11.0,1.0,13.0,5.0,0.0,0.45741176470588235
623485,2021,CIN,6.0,16.0,2.0,6.0,9.0,6.0,15.0,5.0,5.0,2.0,12.0,4.0,2.0,0.39226666666666665
623485,2021,COL,21.0,36.0,2.0,11.0,21.0,16.0,33.0,1.0,17.0,2.0,23.0,23.0,4.0,0.26157142857142857
623485,2022,COL,21.0,25.0,6.0,16.0,23.0,17.0,28.0,4.0,19.0,5.0,18.0,20.0,2.0,0.3555735294117647
623913,2017,MIL,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.5017142857142857
623913,2019,OAK,26.0,25.0,8.0,23.0,20.0,24.0,38.0,4.0,17.0,8.0,23.0,30.0,0.0,0.32793902439024386
623913,2019,PIT,2.0,10.0,0.0,2.0,4.0,4.0,6.0,1.0,2.0,1.0,8.0,0.0,1.0,0.30046153846153845
624133,2018,PHI,14.0,27.0,0.0,11.0,6.0,10.0,16.0,4.0,11.0,2.0,22.0,12.0,0.0,0.3795686274509804
624133,2019,PHI,24.0,85.0,3.0,38.0,43.0,38.0,69.0,8.0,40.0,6.0,62.0,25.0,6.0,0.3622789115646259
624133,2020,PHI,3.0,9.0,2.0,6.0,6.0,7.0,7.0,1.0,5.0,2.0,5.0,6.0,1.0,0.3637
624133,2021,PHI,52.0,163.0,12.0,46.0,101.0,67.0,104.0,7.0,64.0,14.0,121.0,49.0,17.0,0.2877022058823529
624133,2022,PHI,87.0,265.0,19.0,102.0,120.0,144.0,209.0,32.0,106.0,17.0,201.0,88.0,24.0,0.3335534188034188
624407,2020,BOS,2.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.4881428571428571
624414,2021,BOS,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.563
624418,2020,COL,45.0,50.0,10.0,28.0,38.0,35.0,59.0,10.0,39.0,12.0,29.0,39.0,4.0,0.4116766917293233
624418,2021,COL,3.0,4.0,1.0,2.0,3.0,1.0,6.0,2.0,2.0,1.0,2.0,3.0,0.0,0.5562
624418,2022,OAK,1.0,6.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,0.0,6.0,1.0,0.0,0.3652
624427,2018,MIN,20.0,33.0,4.0,26.0,20.0,25.0,38.0,4.0,29.0,6.0,27.0,17.0,0.0,0.4097590361445783
624427,2021,BOS,4.0,6.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,0.19427272727272726
624503,2022,MIN,8.0,3.0,3.0,7.0,4.0,7.0,10.0,2.0,6.0,2.0,2.0,9.0,0.0,0.3476666666666667
624512,2022,BOS,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2436666666666667
624522,2021,CHC,40.0,67.0,12.0,35.0,51.0,43.0,60.0,14.0,35.0,9.0,55.0,35.0,6.0,0.39696103896103896
624522,2022,CHC,92.0,133.0,20.0,80.0,92.0,96.0,136.0,28.0,75.0,17.0,97.0,93.0,11.0,0.3757258566978193
624586,2016,HOU,13.0,29.0,0.0,11.0,13.0,9.0,28.0,5.0,8.0,1.0,23.0,9.0,1.0,0.3863191489361702
624586,2017,HOU,32.0,52.0,7.0,38.0,38.0,28.0,57.0,7.0,42.0,10.0,34.0,30.0,4.0,0.4124566929133858
624586,2018,HOU,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.107
624586,2019,CLE,5.0,9.0,1.0,5.0,4.0,9.0,7.0,2.0,5.0,2.0,8.0,3.0,0.0,0.45705
624586,2020,MIA,7.0,15.0,4.0,7.0,12.0,7.0,14.0,4.0,7.0,1.0,12.0,8.0,1.0,0.38406060606060605
624586,2021,LAA,8.0,10.0,1.0,7.0,6.0,6.0,14.0,2.0,6.0,1.0,8.0,9.0,0.0,0.3368461538461538
624636,2018,TEX,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.125
624647,2020,LAD,9.0,36.0,1.0,6.0,15.0,11.0,26.0,0.0,8.0,3.0,29.0,9.0,3.0,0.26226923076923075
624647,2021,LAD,18.0,56.0,4.0,22.0,30.0,23.0,46.0,6.0,24.0,3.0,41.0,13.0,13.0,0.35697
625643,2016,WSH,24.0,58.0,13.0,41.0,33.0,45.0,58.0,4.0,27.0,8.0,35.0,26.0,2.0,0.36240196078431375
625643,2017,CWS,40.0,48.0,23.0,51.0,41.0,59.0,61.0,8.0,39.0,11.0,35.0,62.0,6.0,0.34559627329192544
625643,2018,CWS,153.0,189.0,68.0,153.0,167.0,161.0,211.0,41.0,146.0,37.0,132.0,189.0,15.0,0.3700642857142857
625643,2019,CWS,146.0,198.0,63.0,160.0,164.0,184.0,216.0,43.0,140.0,44.0,148.0,172.0,17.0,0.39180141843971633
625643,2020,CWS,28.0,30.0,8.0,15.0,26.0,23.0,32.0,8.0,16.0,7.0,19.0,25.0,6.0,0.41001234567901235
625643,2021,CWS,44.0,60.0,11.0,39.0,48.0,45.0,61.0,14.0,33.0,14.0,51.0,38.0,3.0,0.37029411764705883
625643,2022,CWS,42.0,73.0,17.0,46.0,51.0,65.0,62.0,9.0,45.0,12.0,50.0,53.0,9.0,0.332
626929,2019,MIN,17.0,29.0,9.0,28.0,25.0,30.0,28.0,5.0,30.0,7.0,17.0,22.0,2.0,0.39542168674698797
626929,2020,MIN,13.0,21.0,7.0,16.0,19.0,16.0,22.0,7.0,18.0,1.0,12.0,13.0,6.0,0.42254385964912283
626929,2021,MIN,9.0,28.0,6.0,10.0,13.0,10.0,30.0,4.0,13.0,1.0,22.0,10.0,3.0,0.33226415094339623
627262,2017,TOR,6.0,7.0,3.0,5.0,6.0,6.0,9.0,1.0,2.0,4.0,6.0,8.0,0.0,0.30176190476190473
627500,2017,CHC,6.0,5.0,0.0,4.0,5.0,5.0,5.0,3.0,6.0,0.0,2.0,4.0,0.0,0.5236
627500,2018,CHC,1.0,4.0,0.0,2.0,1.0,2.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,0.7601428571428571
627894,2017,ATL,23.0,31.0,7.0,23.0,27.0,25.0,32.0,6.0,17.0,5.0,23.0,29.0,3.0,0.35489156626506024
627894,2018,ATL,21.0,15.0,5.0,15.0,19.0,19.0,18.0,4.0,13.0,3.0,10.0,24.0,2.0,0.35882142857142857
628317,2016,LAD,96.0,215.0,38.0,130.0,134.0,143.0,192.0,26.0,121.0,17.0,171.0,123.0,14.0,0.34447669491525423
628317,2017,LAD,85.0,152.0,34.0,107.0,104.0,112.0,154.0,18.0,96.0,21.0,112.0,106.0,14.0,0.35430790190735695
628317,2018,LAD,72.0,139.0,25.0,95.0,85.0,88.0,140.0,19.0,96.0,16.0,88.0,78.0,15.0,0.36972115384615384
628317,2019,LAD,98.0,164.0,38.0,100.0,105.0,118.0,175.0,22.0,99.0,16.0,120.0,121.0,21.0,0.3320576441102757
628317,2020,MIN,29.0,78.0,16.0,35.0,50.0,36.0,71.0,11.0,30.0,4.0,63.0,40.0,8.0,0.35918589743589746
628317,2021,MIN,76.0,120.0,27.0,77.0,75.0,85.0,140.0,19.0,69.0,24.0,85.0,84.0,19.0,0.35673333333333335
628318,2018,SD,21.0,23.0,13.0,41.0,24.0,38.0,36.0,5.0,27.0,5.0,13.0,23.0,2.0,0.4354666666666666
628333,2015,SD,61.0,232.0,24.0,120.0,119.0,127.0,191.0,22.0,112.0,14.0,172.0,75.0,14.0,0.3579535452322738
628333,2016,BAL,20.0,34.0,8.0,27.0,17.0,33.0,39.0,4.0,29.0,3.0,28.0,22.0,3.0,0.34659550561797753
628333,2016,MIA,2.0,6.0,0.0,4.0,2.0,3.0,7.0,1.0,3.0,0.0,3.0,2.0,1.0,0.41240000000000004
628333,2017,MIA,44.0,75.0,12.0,65.0,60.0,62.0,74.0,9.0,52.0,12.0,54.0,51.0,16.0,0.34405670103092784
628333,2018,LAA,11.0,30.0,0.0,27.0,22.0,15.0,31.0,4.0,22.0,6.0,21.0,12.0,3.0,0.41648529411764706
628333,2018,MIA,16.0,26.0,3.0,19.0,19.0,12.0,26.0,3.0,19.0,3.0,23.0,14.0,0.0,0.40227419354838706
628333,2019,CWS,14.0,15.0,4.0,20.0,15.0,21.0,17.0,3.0,19.0,4.0,12.0,13.0,2.0,0.44984905660377356
628345,2021,LAD,10.0,9.0,0.0,2.0,3.0,6.0,12.0,3.0,3.0,1.0,6.0,7.0,1.0,0.43252380952380953
628452,2015,CIN,43.0,123.0,16.0,74.0,76.0,64.0,116.0,16.0,64.0,10.0,96.0,57.0,4.0,0.3620242914979757
628452,2016,CIN,49.0,91.0,18.0,53.0,62.0,63.0,86.0,6.0,51.0,9.0,67.0,59.0,7.0,0.31306030150753766
628452,2017,CIN,38.0,80.0,12.0,56.0,56.0,55.0,74.0,7.0,49.0,9.0,66.0,46.0,8.0,0.3325351351351351
628452,2018,CIN,46.0,73.0,15.0,50.0,38.0,55.0,78.0,14.0,53.0,10.0,55.0,43.0,6.0,0.3965359116022099
